Gene,n_en_student_p_value,en_c_student_p_value,n_en_permutation_p_value,en_c_permutation_p_value
AJAP1,0.0009562533684700235,0.000799329353978207,0.0007,0.0006
NPHP4,0.9696100848743129,0.5492349825248893,0.9711,0.5554
KCNAB2,0.6030806434910041,0.01563120212441845,0.6022,0.0134
CHD5,0.7778769288639961,0.6726601883275725,0.7945,0.6813
RPL22,0.08793827864963744,0.03898450170563201,0.082,0.0378
RNF207,0.13764815426412216,0.14340653500716913,0.1383,0.1447
ICMT,0.9859739506645984,0.024672941542043934,0.9876,0.0206
GPR153,0.5740794949171681,0.3165531202605581,0.5765,0.3137
ACOT7,0.17071118741652472,0.057984365690243185,0.1716,0.046
HES2,0.10204735979665408,0.35324139353071515,0.1029,0.3592
ESPN,0.0023538808455619985,0.25869226769697573,0.0019,0.2629
TNFRSF25,0.10793440897383179,0.22924365513118866,0.1037,0.2336
PLEKHG5,0.13690572684872981,0.1280105226897606,0.1464,0.1274
NOL9,0.8463993772017664,0.11504960856769936,0.8474,0.1219
TAS1R1,0.4910240915377224,0.005443972919755635,0.4861,0.0038
ZBTB48,0.1678161799864477,0.15706166798993415,0.1737,0.1709
KLHL21,0.5224649978969593,0.05089448401155441,0.5258,0.0511
PHF13,0.4587461665096736,0.9890265497715969,0.4583,0.9895
THAP3,0.4167159400209196,0.29651385701913074,0.4139,0.3055
DNAJC11,0.45974671928430544,0.848680023736238,0.4568,0.854
CAMTA1,0.6504534054780415,0.19106991051033761,0.6503,0.1938
VAMP3,0.39412566757146417,0.399148632440367,0.3965,0.4027
PER3,0.4072590003658355,0.1778892149979237,0.4068,0.1655
TNFRSF9,0.03867858479919482,0.06749438792091655,0.041,0.0633
PARK7,0.3095215528920923,0.10963923865192189,0.3164,0.1064
ERRFI1,0.708602184630966,0.00600229679855272,0.7175,0.0058
SLC45A1,0.5204360579785827,0.1696374251820056,0.513,0.1747
RERE,0.468139906941464,0.04313336664682643,0.4685,0.041
ENO1,0.3511513741166755,0.8894679734063615,0.348,0.8913
CA6,0.9198203311176654,0.0007806212742380908,0.917,0.0012
SLC2A5,0.2217529664683749,0.0012010035209975933,0.2195,0.001
H6PD,0.3625165007117461,0.06013536505195081,0.3647,0.0622
SPSB1,0.22409539861250638,0.006418481638831611,0.2173,0.0033
SLC25A33,0.49552764028182517,0.6912636137602566,0.5045,0.6957
TMEM201,0.6342133754537034,0.6147712680128445,0.6328,0.612
PIK3CD,0.2869047595593537,0.05458881915889867,0.2804,0.0516
C1orf200,0.527698693386937,0.7102791487667592,0.5218,0.7059
CLSTN1,0.9961573435909258,0.8651923806646403,0.9967,0.8642
CTNNBIP1,0.7943960440069668,0.27000243823618303,0.8011,0.2782
LZIC,0.46869691320683793,0.09335470539936533,0.4677,0.0964
